exp,dataset,type,metric,n,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,wilcox_p,t_p,sign_p,n_pos,n_neg,sd_OOB,sd_SB,sd_ratio,PM_p_two
exp1,breast-cancer,real,E1_B,100,0.005264673574543002,0.005269665757997045,4.992183454042955e-06,0.00038263501585717233,0.013046854697444646,0.8851770022716838,0.8964604792445048,0.7643534344026676,48,52,0.0003621471113956732,0.0003434934027137184,0.94849135035189,0.566563150919418
exp1,breast-cancer,real,E2_B,100,0.005264673574543002,0.005269665757997045,4.992183454042955e-06,0.00038263501585717233,0.013046854697444646,0.8851770022716838,0.8964604792445048,0.7643534344026676,48,52,0.0003621471113956732,0.0003434934027137184,0.94849135035189,0.566563150919418
exp1,diabetes,real,E1_B,100,0.0032659308680656495,0.003325610364295908,5.967949623025701e-05,0.0004266899181605863,0.13986619718489907,0.13744945670708206,0.16503930786420654,0.36820161732669615,55,45,0.0003380153108236236,0.00031703035087187945,0.937917131917453,0.5220808333917937
exp1,diabetes,real,E2_B,100,0.0032659308680656495,0.003325610364295908,5.967949623025701e-05,0.0004266899181605863,0.13986619718489907,0.13744945670708206,0.16503930786420654,0.36820161732669615,55,45,0.0003380153108236236,0.00031703035087187945,0.937917131917453,0.5220808333917937
exp1,dna,real,E1_B,100,0.006081174286155539,0.006089034037904638,7.859751749097997e-06,0.00013158886141100674,0.05972961286251063,0.6623526798628128,0.5516733816721419,0.7643534344026676,52,48,0.00015340836866861856,0.0001619445068668198,1.0556432368865116,0.4805462586542535
exp1,dna,real,E2_B,100,0.006597488391673155,0.006602707342306321,5.218950633165018e-06,0.00014326441790123002,0.03642879864812692,0.7753522914731348,0.7164198849702933,0.7643534344026676,52,48,0.00015888753027683226,0.00016666579566970173,1.0489545364530324,0.5502694983714345
exp1,ringnorm,synthetic,E1_B,100,0.03863793219965979,0.03865464531259455,1.6713112934756345e-05,0.0012932027198015725,0.012923815175180566,0.9780556767995897,0.8974314134525195,0.9204107626128221,49,51,0.0010255657212097696,0.001123324683428337,1.0953219868769108,0.34967795196644724
exp1,ringnorm,synthetic,E2_B,100,0.03863793219965979,0.03865464531259455,1.6713112934756345e-05,0.0012932027198015725,0.012923815175180566,0.9780556767995897,0.8974314134525195,0.9204107626128221,49,51,0.0010255657212097696,0.001123324683428337,1.0953219868769108,0.34967795196644724
exp1,satellite,real,E1_B,100,0.0017086314301674214,0.0017139770751581126,5.345644990692011e-06,4.829407477801043e-05,0.11068945859847022,0.21073379493731736,0.2710218153057011,0.36820161732669615,55,45,3.8867140230030074e-05,3.8002068810016875e-05,0.9777428590090913,0.8201514782697166
exp1,satellite,real,E2_B,100,0.0022777405565211012,0.002279412563306007,1.672006784905959e-06,6.752593064461171e-05,0.024760958774573783,0.8044753358016482,0.804949306547965,0.6172994135892524,53,47,5.4066756782044116e-05,5.0411471550918215e-05,0.9323931108747429,0.4835404152271914
exp1,threenorm,synthetic,E1_B,100,0.00624965344864262,0.0062974932173672825,4.783976872466197e-05,0.0010052535015275335,0.04758975586950657,0.7180814247397251,0.6351958621714596,0.9204107626128221,51,49,0.0006493439004072516,0.0007165131369801609,1.103441699430429,0.3298673946487978
exp1,threenorm,synthetic,E2_B,100,0.00624965344864262,0.0062974932173672825,4.783976872466197e-05,0.0010052535015275335,0.04758975586950657,0.7180814247397251,0.6351958621714596,0.9204107626128221,51,49,0.0006493439004072516,0.0007165131369801609,1.103441699430429,0.3298673946487978
exp1,twonorm,synthetic,E1_B,100,0.00544363780096052,0.005511182620684004,6.75448197234829e-05,0.0007467510274378998,0.0904515926214778,0.35680454481095936,0.36791777638212675,0.6172994135892524,53,47,0.0005612311878296167,0.0005695228906949943,1.0147741305992688,0.883912491041855
exp1,twonorm,synthetic,E2_B,100,0.00544363780096052,0.005511182620684004,6.75448197234829e-05,0.0007467510274378998,0.0904515926214778,0.35680454481095936,0.36791777638212675,0.6172994135892524,53,47,0.0005612311878296167,0.0005695228906949943,1.0147741305992688,0.883912491041855
