dataset,type,metric,n_runs,mean_diff,sd_diff,wilcox_p,t_p,ci_lo,ci_hi,cohens_dz,n_pos,n_neg,n_zero,sign_p,OOB,SB_OOB,exp,seed
waveform,synthetic,E1_B,50,-0.0007150290784249277,0.005290121219778759,0.1069407162776283,0.3438916179151975,-0.002218464894277286,0.0007884067374274308,-0.13516308014863057,16,34,0,0.015346677832630155,0.02515718197514432,0.02444215289671939,exp1,1
waveform,synthetic,E2_B,50,-0.0010620261932188534,0.005826717400288653,0.07104916141184585,0.20350832830934862,-0.002717960956243143,0.0005939085698054362,-0.18226835459125598,18,32,0,0.06490864707227226,0.02838401726280599,0.02732199106958714,exp1,1
twonorm,synthetic,E1_B,50,-0.0005044304428013535,0.004546497486811049,0.35407465575527786,0.4365059331137007,-0.0017965307320722925,0.0007876698464695856,-0.11094924043500685,24,26,0,0.8877248273407867,0.004976743866833192,0.004472313424031838,exp1,1
twonorm,synthetic,E2_B,50,-0.0005044304428013535,0.004546497486811049,0.35407465575527786,0.4365059331137007,-0.0017965307320722925,0.0007876698464695856,-0.11094924043500685,24,26,0,0.8877248273407867,0.004976743866833192,0.004472313424031838,exp1,1
threenorm,synthetic,E1_B,50,0.0013094267210184386,0.006589322918957164,0.2669442834760749,0.16628257342227856,-0.0005632381323951317,0.003182091574432009,0.19871946437034996,26,24,0,0.8877248273407867,0.005523124316965274,0.006832551037983713,exp1,1
threenorm,synthetic,E2_B,50,0.0013094267210184383,0.006589322918957164,0.2669442834760749,0.16628257342227856,-0.0005632381323951319,0.003182091574432009,0.19871946437034993,26,24,0,0.8877248273407867,0.005523124316965274,0.006832551037983713,exp1,1
ringnorm,synthetic,E1_B,50,0.0009536885749336671,0.008201655693854178,0.48703270055524284,0.4149327517679323,-0.0013771961831183389,0.003284573332985673,0.11628000620024849,25,25,0,1.0,0.038422568482378565,0.039376257057312236,exp1,1
ringnorm,synthetic,E2_B,50,0.000953688574933667,0.008201655693854178,0.48703270055524284,0.4149327517679323,-0.0013771961831183389,0.003284573332985673,0.11628000620024848,25,25,0,1.0,0.038422568482378565,0.039376257057312236,exp1,1
breast-cancer,real,E1_B,50,0.0001560462041863303,0.002764741767098115,0.6089143464848256,0.6915523543034069,-0.0006296847122806617,0.0009417771206533223,0.05644151147979259,27,23,0,0.6718110337653662,0.005323440455456985,0.005479486659643315,exp1,1
breast-cancer,real,E2_B,50,0.00015604620418633027,0.002764741767098115,0.6089143464848256,0.6915523543034069,-0.0006296847122806617,0.0009417771206533223,0.05644151147979258,27,23,0,0.6718110337653662,0.005323440455456985,0.005479486659643315,exp1,1
diabetes,real,E1_B,50,-0.00021268075357247008,0.003901547828232028,0.9691988460743741,0.7015669729791074,-0.001321488377922207,0.0008961268707772666,-0.0545118919300409,28,22,0,0.47988766169832847,0.003503792739397677,0.003291111985825207,exp1,1
diabetes,real,E2_B,50,-0.00021268075357247005,0.003901547828232028,0.9691988460743741,0.7015669729791074,-0.001321488377922207,0.0008961268707772667,-0.05451189193004089,28,22,0,0.47988766169832847,0.003503792739397677,0.003291111985825207,exp1,1
vehicle,real,E1_B,50,-0.00041492409582356463,0.001905544053127874,0.09684126144708755,0.1300682804554117,-0.0009564737237310946,0.00012662553208396524,-0.2177457378340235,18,32,0,0.06490864707227226,0.0035723575675465982,0.0031574334717230338,exp1,1
vehicle,real,E2_B,50,-0.0005124045265235411,0.0023544021345491177,0.11120708901662908,0.1302560806010078,-0.0011815182097348349,0.00015670915668775266,-0.2176367915252802,21,29,0,0.3222363203575473,0.004272593389145193,0.0037601888626216523,exp1,1
satellite,real,E1_B,50,-8.689785406849113e-05,0.00038301165327052155,0.1224612993943274,0.11507772272487418,-0.00019574856154619416,2.1952853409211885e-05,-0.22688044430626,22,28,0,0.47988766169832847,0.001773913808088928,0.001687015954020437,exp1,1
satellite,real,E2_B,50,-9.365095217743195e-05,0.0004985464900346461,0.10078550584479933,0.19023746106645112,-0.00023533629696371162,4.8034392608847716e-05,-0.18784798218301316,20,30,0,0.20263875106454096,0.0023377306785732567,0.002244079726395825,exp1,1
dna,real,E1_B,50,-0.00010124376030473502,0.0007502008350300928,0.3902622871043598,0.3446262569005243,-0.00031444847861055824,0.0001119609580010882,-0.1349555420058601,25,25,0,1.0,0.0060306331980988495,0.0059293894377941145,exp1,1
dna,real,E2_B,50,-0.00012515196220737714,0.000803639776432825,0.27112575251096327,0.2761951400074913,-0.0003535438596208774,0.00010323993520612313,-0.15573141832637796,24,26,0,0.8877248273407867,0.006536043398451843,0.006410891436244466,exp1,1
friedman1,synthetic,EB1,50,0.005159652974976839,0.07423881937706903,0.6993995433003242,0.6253063526461748,-0.015938786047701645,0.026258091997655317,0.06950074123310424,25,25,0,1.0,2.1017540610102246,2.106913713985201,exp2,1
friedman1,synthetic,EB2,50,0.005159652974976839,0.07423881937706903,0.6993995433003242,0.6253063526461748,-0.015938786047701645,0.026258091997655317,0.06950074123310424,25,25,0,1.0,2.1017540610102246,2.106913713985201,exp2,1
friedman2,synthetic,EB1,50,0.017021679807484702,4.3912991058774145,0.9615039375273672,0.9782447868766764,-1.2309717176240869,1.2650150772390563,0.003876228741672937,25,25,0,1.0,240.60919563909627,240.62621731890377,exp2,1
friedman2,synthetic,EB2,50,0.017021679807484702,4.3912991058774145,0.9615039375273672,0.9782447868766764,-1.2309717176240869,1.2650150772390563,0.003876228741672937,25,25,0,1.0,240.60919563909627,240.62621731890377,exp2,1
friedman3,synthetic,EB1,50,0.0006486373145078295,0.006291074546076672,0.8772529937158152,0.4694367148839489,-0.0011392662891763874,0.0024365409181920463,0.10310437585139437,28,22,0,0.47988766169832847,0.15409632749257768,0.1547449648070855,exp2,1
friedman3,synthetic,EB2,50,0.0006486373145078295,0.006291074546076672,0.8772529937158152,0.4694367148839489,-0.0011392662891763874,0.0024365409181920463,0.10310437585139437,28,22,0,0.47988766169832847,0.15409632749257768,0.1547449648070855,exp2,1
Boston,real,EB1,50,-0.0015809456370584308,0.09555364297454248,0.9154347266212022,0.9073449226903706,-0.028736990501585048,0.025575099227468187,-0.016545111079434495,26,24,0,0.8877248273407867,5.660266704735003,5.658685759097945,exp2,1
Boston,real,EB2,50,-0.0015809456370584308,0.09555364297454248,0.9154347266212022,0.9073449226903706,-0.028736990501585048,0.025575099227468187,-0.016545111079434495,26,24,0,0.8877248273407867,5.660266704735003,5.658685759097945,exp2,1
Ozone,real,EB1,50,0.1355886816619673,1.243263101620478,0.4750153427207917,0.44431404152412135,-0.21774278237244066,0.4889201456963753,0.10905871933723445,27,23,0,0.6718110337653662,10.029479663627235,10.165068345289201,exp2,1
